MotionWatch8 Data Export
Subject ID: anonymized-example-01
Raw data:,,
Date,Time,Activity
2017-07-05,21:31:00,52
2017-07-05,21:31:30,0
2017-07-05,21:32:00,0
2017-07-05,21:32:30,0
2017-07-05,21:33:00,0
2017-07-05,21:33:30,0
2017-07-05,21:34:00,0
2017-07-05,21:34:30,0
2017-07-05,21:35:00,0
2017-07-05,21:35:30,0
2017-07-05,21:36:00,0
2017-07-05,21:36:30,0
2017-07-05,21:37:00,0
2017-07-05,21:37:30,0
2017-07-05,21:38:00,0
2017-07-05,21:38:30,71
2017-07-05,21:39:00,173
2017-07-05,21:39:30,0
2017-07-05,21:40:00,0
2017-07-05,21:40:30,0
2017-07-05,21:41:00,0
2017-07-05,21:41:30,0
2017-07-05,21:42:00,0
2017-07-05,21:42:30,0
2017-07-05,21:43:00,121
2017-07-05,21:43:30,371
2017-07-05,21:44:00,26
2017-07-05,21:44:30,0
2017-07-05,21:45:00,14
2017-07-05,21:45:30,85
2017-07-05,21:46:00,313
2017-07-05,21:46:30,89
2017-07-05,21:47:00,78
2017-07-05,21:47:30,22
2017-07-05,21:48:00,40
2017-07-05,21:48:30,140
2017-07-05,21:49:00,251
2017-07-05,21:49:30,247
2017-07-05,21:50:00,265
2017-07-05,21:50:30,0
2017-07-05,21:51:00,0
2017-07-05,21:51:30,163
2017-07-05,21:52:00,237
2017-07-05,21:52:30,223
2017-07-05,21:53:00,86
2017-07-05,21:53:30,225
2017-07-05,21:54:00,359
2017-07-05,21:54:30,85
2017-07-05,21:55:00,467
2017-07-05,21:55:30,345
2017-07-05,21:56:00,265
2017-07-05,21:56:30,158
2017-07-05,21:57:00,279
2017-07-05,21:57:30,120
2017-07-05,21:58:00,79
2017-07-05,21:58:30,0
2017-07-05,21:59:00,12
2017-07-05,21:59:30,0
2017-07-05,22:00:00,0
2017-07-05,22:00:30,26
2017-07-05,22:01:00,18
2017-07-05,22:01:30,106
2017-07-05,22:02:00,106
2017-07-05,22:02:30,33
2017-07-05,22:03:00,0
2017-07-05,22:03:30,111
2017-07-05,22:04:00,34
2017-07-05,22:04:30,77
2017-07-05,22:05:00,301
2017-07-05,22:05:30,133
2017-07-05,22:06:00,184
2017-07-05,22:06:30,550
2017-07-05,22:07:00,716
2017-07-05,22:07:30,142
2017-07-05,22:08:00,40
2017-07-05,22:08:30,25
2017-07-05,22:09:00,0
2017-07-05,22:09:30,11
2017-07-05,22:10:00,0
2017-07-05,22:10:30,0
2017-07-05,22:11:00,101
2017-07-05,22:11:30,125
2017-07-05,22:12:00,36
2017-07-05,22:12:30,263
2017-07-05,22:13:00,158
2017-07-05,22:13:30,151
2017-07-05,22:14:00,173
2017-07-05,22:14:30,99
2017-07-05,22:15:00,642
2017-07-05,22:15:30,762
2017-07-05,22:16:00,1256
2017-07-05,22:16:30,174
2017-07-05,22:17:00,50
2017-07-05,22:17:30,6
2017-07-05,22:18:00,0
2017-07-05,22:18:30,71
2017-07-05,22:19:00,212
2017-07-05,22:19:30,434
2017-07-05,22:20:00,326
2017-07-05,22:20:30,457
2017-07-05,22:21:00,130
2017-07-05,22:21:30,23
2017-07-05,22:22:00,112
2017-07-05,22:22:30,10
2017-07-05,22:23:00,89
2017-07-05,22:23:30,23
2017-07-05,22:24:00,54
2017-07-05,22:24:30,463
2017-07-05,22:25:00,38
2017-07-05,22:25:30,91
2017-07-05,22:26:00,141
2017-07-05,22:26:30,141
2017-07-05,22:27:00,84
2017-07-05,22:27:30,49
2017-07-05,22:28:00,98
2017-07-05,22:28:30,116
2017-07-05,22:29:00,193
2017-07-05,22:29:30,44
2017-07-05,22:30:00,141
2017-07-05,22:30:30,30
2017-07-05,22:31:00,43
2017-07-05,22:31:30,59
2017-07-05,22:32:00,12
2017-07-05,22:32:30,104
2017-07-05,22:33:00,289
2017-07-05,22:33:30,106
2017-07-05,22:34:00,35
2017-07-05,22:34:30,0
2017-07-05,22:35:00,5
2017-07-05,22:35:30,0
2017-07-05,22:36:00,0
2017-07-05,22:36:30,0
2017-07-05,22:37:00,0
2017-07-05,22:37:30,0
2017-07-05,22:38:00,296
2017-07-05,22:38:30,360
2017-07-05,22:39:00,270
2017-07-05,22:39:30,5
2017-07-05,22:40:00,63
2017-07-05,22:40:30,383
2017-07-05,22:41:00,96
2017-07-05,22:41:30,983
2017-07-05,22:42:00,66
2017-07-05,22:42:30,68
2017-07-05,22:43:00,124
2017-07-05,22:43:30,159
2017-07-05,22:44:00,356
2017-07-05,22:44:30,139
2017-07-05,22:45:00,36
2017-07-05,22:45:30,104
2017-07-05,22:46:00,93
2017-07-05,22:46:30,77
2017-07-05,22:47:00,32
2017-07-05,22:47:30,0
2017-07-05,22:48:00,164
2017-07-05,22:48:30,212
2017-07-05,22:49:00,127
2017-07-05,22:49:30,35
2017-07-05,22:50:00,154
2017-07-05,22:50:30,264
2017-07-05,22:51:00,337
2017-07-05,22:51:30,263
2017-07-05,22:52:00,36
2017-07-05,22:52:30,30
2017-07-05,22:53:00,48
2017-07-05,22:53:30,79
2017-07-05,22:54:00,190
2017-07-05,22:54:30,236
2017-07-05,22:55:00,22
2017-07-05,22:55:30,82
2017-07-05,22:56:00,110
2017-07-05,22:56:30,18
2017-07-05,22:57:00,28
2017-07-05,22:57:30,745
2017-07-05,22:58:00,794
2017-07-05,22:58:30,179
2017-07-05,22:59:00,368
2017-07-05,22:59:30,468
2017-07-05,23:00:00,144
2017-07-05,23:00:30,14
2017-07-05,23:01:00,9
2017-07-05,23:01:30,137
2017-07-05,23:02:00,11
2017-07-05,23:02:30,95
2017-07-05,23:03:00,93
2017-07-05,23:03:30,119
2017-07-05,23:04:00,342
2017-07-05,23:04:30,68
2017-07-05,23:05:00,10
2017-07-05,23:05:30,49
2017-07-05,23:06:00,593
2017-07-05,23:06:30,169
2017-07-05,23:07:00,444
2017-07-05,23:07:30,20
2017-07-05,23:08:00,0
2017-07-05,23:08:30,0
2017-07-05,23:09:00,0
2017-07-05,23:09:30,0
2017-07-05,23:10:00,0
2017-07-05,23:10:30,0
2017-07-05,23:11:00,0
2017-07-05,23:11:30,0
2017-07-05,23:12:00,0
2017-07-05,23:12:30,0
2017-07-05,23:13:00,0
2017-07-05,23:13:30,0
2017-07-05,23:14:00,0
2017-07-05,23:14:30,0
2017-07-05,23:15:00,0
2017-07-05,23:15:30,0
2017-07-05,23:16:00,0
2017-07-05,23:16:30,0
2017-07-05,23:17:00,0
2017-07-05,23:17:30,0
2017-07-05,23:18:00,0
2017-07-05,23:18:30,0
2017-07-05,23:19:00,0
2017-07-05,23:19:30,0
2017-07-05,23:20:00,0
2017-07-05,23:20:30,0
2017-07-05,23:21:00,0
2017-07-05,23:21:30,0
2017-07-05,23:22:00,0
2017-07-05,23:22:30,0
2017-07-05,23:23:00,0
2017-07-05,23:23:30,0
2017-07-05,23:24:00,0
2017-07-05,23:24:30,0
2017-07-05,23:25:00,0
2017-07-05,23:25:30,0
2017-07-05,23:26:00,0
2017-07-05,23:26:30,0
2017-07-05,23:27:00,0
2017-07-05,23:27:30,0
2017-07-05,23:28:00,0
2017-07-05,23:28:30,0
2017-07-05,23:29:00,0
2017-07-05,23:29:30,0
2017-07-05,23:30:00,0
2017-07-05,23:30:30,0
2017-07-05,23:31:00,0
2017-07-05,23:31:30,7
2017-07-05,23:32:00,0
2017-07-05,23:32:30,0
2017-07-05,23:33:00,0
2017-07-05,23:33:30,7
2017-07-05,23:34:00,0
2017-07-05,23:34:30,0
2017-07-05,23:35:00,0
2017-07-05,23:35:30,0
2017-07-05,23:36:00,0
2017-07-05,23:36:30,0
2017-07-05,23:37:00,0
2017-07-05,23:37:30,0
2017-07-05,23:38:00,0
2017-07-05,23:38:30,0
2017-07-05,23:39:00,0
2017-07-05,23:39:30,298
2017-07-05,23:40:00,593
2017-07-05,23:40:30,76
2017-07-05,23:41:00,32
2017-07-05,23:41:30,0
2017-07-05,23:42:00,18
2017-07-05,23:42:30,41
2017-07-05,23:43:00,34
2017-07-05,23:43:30,0
2017-07-05,23:44:00,135
2017-07-05,23:44:30,0
2017-07-05,23:45:00,209
2017-07-05,23:45:30,0
2017-07-05,23:46:00,0
2017-07-05,23:46:30,0
2017-07-05,23:47:00,0
2017-07-05,23:47:30,35
2017-07-05,23:48:00,0
2017-07-05,23:48:30,152
2017-07-05,23:49:00,4
2017-07-05,23:49:30,61
2017-07-05,23:50:00,0
2017-07-05,23:50:30,5
2017-07-05,23:51:00,0
2017-07-05,23:51:30,0
2017-07-05,23:52:00,0
2017-07-05,23:52:30,0
2017-07-05,23:53:00,26
2017-07-05,23:53:30,0
2017-07-05,23:54:00,0
2017-07-05,23:54:30,0
2017-07-05,23:55:00,0
2017-07-05,23:55:30,7
2017-07-05,23:56:00,9
2017-07-05,23:56:30,70
2017-07-05,23:57:00,311
2017-07-05,23:57:30,0
2017-07-05,23:58:00,14
2017-07-05,23:58:30,0
2017-07-05,23:59:00,0
2017-07-05,23:59:30,0
2017-07-06,00:00:00,37
2017-07-06,00:00:30,0
2017-07-06,00:01:00,0
2017-07-06,00:01:30,0
2017-07-06,00:02:00,0
2017-07-06,00:02:30,0
2017-07-06,00:03:00,0
2017-07-06,00:03:30,116
2017-07-06,00:04:00,512
2017-07-06,00:04:30,0
2017-07-06,00:05:00,0
2017-07-06,00:05:30,0
2017-07-06,00:06:00,0
2017-07-06,00:06:30,0
2017-07-06,00:07:00,0
2017-07-06,00:07:30,0
2017-07-06,00:08:00,0
2017-07-06,00:08:30,0
2017-07-06,00:09:00,0
2017-07-06,00:09:30,0
2017-07-06,00:10:00,0
2017-07-06,00:10:30,0
2017-07-06,00:11:00,0
2017-07-06,00:11:30,0
2017-07-06,00:12:00,0
2017-07-06,00:12:30,0
2017-07-06,00:13:00,0
2017-07-06,00:13:30,0
2017-07-06,00:14:00,0
2017-07-06,00:14:30,0
2017-07-06,00:15:00,0
2017-07-06,00:15:30,0
2017-07-06,00:16:00,0
2017-07-06,00:16:30,0
2017-07-06,00:17:00,0
2017-07-06,00:17:30,0
2017-07-06,00:18:00,0
2017-07-06,00:18:30,0
2017-07-06,00:19:00,0
2017-07-06,00:19:30,0
2017-07-06,00:20:00,0
2017-07-06,00:20:30,0
2017-07-06,00:21:00,0
2017-07-06,00:21:30,0
2017-07-06,00:22:00,0
2017-07-06,00:22:30,0
2017-07-06,00:23:00,0
2017-07-06,00:23:30,0
2017-07-06,00:24:00,0
2017-07-06,00:24:30,0
2017-07-06,00:25:00,0
2017-07-06,00:25:30,0
2017-07-06,00:26:00,0
2017-07-06,00:26:30,0
2017-07-06,00:27:00,0
2017-07-06,00:27:30,0
2017-07-06,00:28:00,0
2017-07-06,00:28:30,0
2017-07-06,00:29:00,0
2017-07-06,00:29:30,0
2017-07-06,00:30:00,261
2017-07-06,00:30:30,0
2017-07-06,00:31:00,0
2017-07-06,00:31:30,0
2017-07-06,00:32:00,0
2017-07-06,00:32:30,0
2017-07-06,00:33:00,0
2017-07-06,00:33:30,0
2017-07-06,00:34:00,0
2017-07-06,00:34:30,0
2017-07-06,00:35:00,0
2017-07-06,00:35:30,0
2017-07-06,00:36:00,0
2017-07-06,00:36:30,0
2017-07-06,00:37:00,0
2017-07-06,00:37:30,0
2017-07-06,00:38:00,0
2017-07-06,00:38:30,0
2017-07-06,00:39:00,0
2017-07-06,00:39:30,0
2017-07-06,00:40:00,0
2017-07-06,00:40:30,0
2017-07-06,00:41:00,0
2017-07-06,00:41:30,0
2017-07-06,00:42:00,0
2017-07-06,00:42:30,0
2017-07-06,00:43:00,0
2017-07-06,00:43:30,0
2017-07-06,00:44:00,0
2017-07-06,00:44:30,0
2017-07-06,00:45:00,0
2017-07-06,00:45:30,0
2017-07-06,00:46:00,0
2017-07-06,00:46:30,0
2017-07-06,00:47:00,0
2017-07-06,00:47:30,0
2017-07-06,00:48:00,0
2017-07-06,00:48:30,0
2017-07-06,00:49:00,0
2017-07-06,00:49:30,0
2017-07-06,00:50:00,0
2017-07-06,00:50:30,0
2017-07-06,00:51:00,0
2017-07-06,00:51:30,0
2017-07-06,00:52:00,0
2017-07-06,00:52:30,0
2017-07-06,00:53:00,0
2017-07-06,00:53:30,0
2017-07-06,00:54:00,0
2017-07-06,00:54:30,0
2017-07-06,00:55:00,0
2017-07-06,00:55:30,0
2017-07-06,00:56:00,0
2017-07-06,00:56:30,0
2017-07-06,00:57:00,0
2017-07-06,00:57:30,0
2017-07-06,00:58:00,0
2017-07-06,00:58:30,0
2017-07-06,00:59:00,0
2017-07-06,00:59:30,0
2017-07-06,01:00:00,0
2017-07-06,01:00:30,0
2017-07-06,01:01:00,0
2017-07-06,01:01:30,0
2017-07-06,01:02:00,0
2017-07-06,01:02:30,0
2017-07-06,01:03:00,0
2017-07-06,01:03:30,0
2017-07-06,01:04:00,4
2017-07-06,01:04:30,0
2017-07-06,01:05:00,0
2017-07-06,01:05:30,0
2017-07-06,01:06:00,0
2017-07-06,01:06:30,0
2017-07-06,01:07:00,0
2017-07-06,01:07:30,0
2017-07-06,01:08:00,0
2017-07-06,01:08:30,7
2017-07-06,01:09:00,0
2017-07-06,01:09:30,0
2017-07-06,01:10:00,0
2017-07-06,01:10:30,0
2017-07-06,01:11:00,0
2017-07-06,01:11:30,0
2017-07-06,01:12:00,4
2017-07-06,01:12:30,0
2017-07-06,01:13:00,0
2017-07-06,01:13:30,0
2017-07-06,01:14:00,0
2017-07-06,01:14:30,0
2017-07-06,01:15:00,0
2017-07-06,01:15:30,0
2017-07-06,01:16:00,0
2017-07-06,01:16:30,0
2017-07-06,01:17:00,0
2017-07-06,01:17:30,0
2017-07-06,01:18:00,0
2017-07-06,01:18:30,0
2017-07-06,01:19:00,0
2017-07-06,01:19:30,0
2017-07-06,01:20:00,0
2017-07-06,01:20:30,0
2017-07-06,01:21:00,0
2017-07-06,01:21:30,0
2017-07-06,01:22:00,95
2017-07-06,01:22:30,0
2017-07-06,01:23:00,0
2017-07-06,01:23:30,0
2017-07-06,01:24:00,0
2017-07-06,01:24:30,0
2017-07-06,01:25:00,0
2017-07-06,01:25:30,0
2017-07-06,01:26:00,0
2017-07-06,01:26:30,0
2017-07-06,01:27:00,0
2017-07-06,01:27:30,0
2017-07-06,01:28:00,0
2017-07-06,01:28:30,0
2017-07-06,01:29:00,0
2017-07-06,01:29:30,0
2017-07-06,01:30:00,0
2017-07-06,01:30:30,0
2017-07-06,01:31:00,0
2017-07-06,01:31:30,0
2017-07-06,01:32:00,4
2017-07-06,01:32:30,138
2017-07-06,01:33:00,108
2017-07-06,01:33:30,163
2017-07-06,01:34:00,177
2017-07-06,01:34:30,0
2017-07-06,01:35:00,5
2017-07-06,01:35:30,0
2017-07-06,01:36:00,0
2017-07-06,01:36:30,0
2017-07-06,01:37:00,0
2017-07-06,01:37:30,0
2017-07-06,01:38:00,0
2017-07-06,01:38:30,0
2017-07-06,01:39:00,0
2017-07-06,01:39:30,0
2017-07-06,01:40:00,0
2017-07-06,01:40:30,0
2017-07-06,01:41:00,0
2017-07-06,01:41:30,0
2017-07-06,01:42:00,0
2017-07-06,01:42:30,0
2017-07-06,01:43:00,0
2017-07-06,01:43:30,0
2017-07-06,01:44:00,0
2017-07-06,01:44:30,0
2017-07-06,01:45:00,0
2017-07-06,01:45:30,37
2017-07-06,01:46:00,60
2017-07-06,01:46:30,31
2017-07-06,01:47:00,0
2017-07-06,01:47:30,0
2017-07-06,01:48:00,0
2017-07-06,01:48:30,0
2017-07-06,01:49:00,0
2017-07-06,01:49:30,0
2017-07-06,01:50:00,0
2017-07-06,01:50:30,0
2017-07-06,01:51:00,0
2017-07-06,01:51:30,0
